Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_Complert,Nascut_a_Espanya,Salari numeric,naixament,Edat,increment,Salari actualitzat
Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Altres,951 €,No,Grup A,Mia Schneider Fischer,No,951,1976-10-22,49,5%,998.55
Lea,Fischer,Alemanya,Berlín,9,9,1986,Dona,1.370 €,Sí,Grup A,Lea Fischer,No,1370,1986-09-09,39,5%,1438.5
Lea,Müller,Alemanya,Hamburg,14,4,2003,Dona,1.314 €,No,Grup A,Lea Müller,No,1314,2003-04-14,22,5%,1379.7
Laura,Schneider,Alemanya,Hamburg,25,1,1957,Dona,1.368 €,No,Grup A,Laura Schneider,No,1368,1957-01-25,68,5%,1436.4
Anna,Müller,Alemanya,Munic,18,3,1956,Dona,1.280 €,No,Grup A,Anna Müller,No,1280,1956-03-18,69,5%,1344.0
Mia,Schneider Müller,Alemanya,Munic,28,3,1957,Dona,766 €,No,Grup A,Mia Schneider Müller,No,766,1957-03-28,68,5%,804.3
Lukas,Müller Schmidt,Alemanya,Munic,23,2,2005,Home,1.573 €,No,Grup A,Lukas Müller Schmidt,No,1573,2005-02-23,20,5%,1651.65
Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Home,1.313 €,No,Grup A,Matías Gómez Álvarez,No,1313,1955-12-04,69,5%,1378.65
Lucía,Fernández,Argentina,Buenos Aires,8,8,1953,Dona,764 €,No,Grup A,Lucía Fernández,No,764,1953-08-08,72,5%,802.2
Lucía,Fernández,Argentina,Buenos Aires,28,11,1978,,758 €,No,Grup A,Lucía Fernández,No,758,1978-11-28,46,5%,795.9
Matías,Rodríguez,Argentina,Buenos Aires,12,6,1950,,1.055 €,No,Grup A,Matías Rodríguez,No,1055,1950-06-12,75,5%,1107.75
Florencia,Álvarez,Argentina,Buenos Aires,14,11,1961,Dona,1.043 €,No,Grup A,Florencia Álvarez,No,1043,1961-11-14,63,5%,1095.15
Lucas,Álvarez,Argentina,Buenos Aires,2,8,1978,Home,899 €,Sí,Grup A,Lucas Álvarez,No,899,1978-08-02,47,5%,943.95
Juan,Álvarez,Argentina,Buenos Aires,21,2,1968,Home,887 €,Sí,Grup A,Juan Álvarez,No,887,1968-02-21,57,5%,931.35
Lucía,Álvarez,Argentina,Buenos Aires,10,8,1972,Altres,1.141 €,No,Grup A,Lucía Álvarez,No,1141,1972-08-10,53,5%,1198.05
Matías,Fernández,Argentina,Buenos Aires,28,4,1953,Home,1.253 €,No,Grup A,Matías Fernández,No,1253,1953-04-28,72,5%,1315.65
Julieta,Fernández,Argentina,Buenos Aires,28,1,1961,Dona,1.493 €,Sí,Grup A,Julieta Fernández,No,1493,1961-01-28,64,5%,1567.65
Martina,Gómez,Argentina,Buenos Aires,5,12,1963,Dona,993 €,No,Grup A,Martina Gómez,No,993,1963-12-05,61,5%,1042.65
