Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_Complert,Nascut_a_Espanya,Salari numeric,naixament,Edat,increment,Salari actualitzat
Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1.769 €,Sí,Grup B,Laura Schneider Fischer,No,1769,1958-02-02,67,"3,5%",1830.91
Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2.013 €,No,Grup B,Lea Schneider Schneider,No,2013,2005-10-23,20,"3,5%",2083.45
Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1.557 €,Sí,Grup B,Mia Fischer,No,1557,1950-08-11,75,"3,5%",1611.49
Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Home,2.042 €,No,Grup B,Lukas Müller Fischer,No,2042,1971-03-28,54,"3,5%",2113.47
Laura,Schmidt,Alemanya,Hamburg,3,5,1956,,1.828 €,Sí,Grup B,Laura Schmidt,No,1828,1956-05-03,69,"3,5%",1891.98
Jonas,Schneider Schmidt,Alemanya,Hamburg,15,8,1983,Home,1.476 €,Sí,Grup B,Jonas Schneider Schmidt,No,1476,1983-08-15,42,"3,5%",1527.66
Mia,Fischer,Alemanya,Munic,8,9,1953,Dona,1.666 €,No,Grup B,Mia Fischer,No,1666,1953-09-08,72,"3,5%",1724.31
Leon,Schneider,Alemanya,Munic,5,5,1981,Home,1.672 €,No,Grup B,Leon Schneider,No,1672,1981-05-05,44,"3,5%",1730.52
Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Dona,1.292 €,Sí,Grup B,Martina Rodríguez Gómez,No,1292,1978-03-10,47,"3,5%",1337.22
Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Dona,1.181 €,No,Grup B,Julieta Rodríguez,No,1181,1979-07-24,46,"3,5%",1222.33
Juan,Álvarez Fernández,Argentina,Buenos Aires,11,8,1991,Home,1.412 €,Sí,Grup B,Juan Álvarez Fernández,No,1412,1991-08-11,34,"3,5%",1461.42
Lucas,Álvarez,Argentina,Buenos Aires,22,3,1984,Home,1.670 €,No,Grup B,Lucas Álvarez,No,1670,1984-03-22,41,"3,5%",1728.45
Tomás,Gómez,Argentina,Buenos Aires,3,10,1972,Home,1.456 €,No,Grup B,Tomás Gómez,No,1456,1972-10-03,53,"3,5%",1506.96
Matías,Rodríguez Gómez,Argentina,Buenos Aires,28,9,1957,Home,1.463 €,Sí,Grup B,Matías Rodríguez Gómez,No,1463,1957-09-28,68,"3,5%",1514.2
Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2.080 €,Sí,Grup B,Matías Gómez Gómez,No,2080,2002-08-18,23,"3,5%",2152.8
Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Home,1.912 €,Sí,Grup B,Lucas Álvarez Álvarez,No,1912,1981-05-17,44,"3,5%",1978.92
Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Home,1.992 €,Sí,Grup B,Lucas Fernández Álvarez,No,1992,1993-04-27,32,"3,5%",2061.72
Matías,Álvarez,Argentina,Còrdova,24,8,1954,Home,1.686 €,Sí,Grup B,Matías Álvarez,No,1686,1954-08-24,71,"3,5%",1745.01
Florencia,Gómez Fernández,Argentina,Còrdova,12,7,1992,Dona,1.245 €,No,Grup B,Florencia Gómez Fernández,No,1245,1992-07-12,33,"3,5%",1288.57
Florencia,Fernández,Argentina,Còrdova,14,10,1979,Dona,1.209 €,No,Grup B,Florencia Fernández,No,1209,1979-10-14,46,"3,5%",1251.31
Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1.893 €,No,Grup B,Sara Gutiérrez,No,1893,1970-02-26,55,"3,5%",1959.25
Valentina,Rojas,Colòmbia,Bogotà,6,9,1959,Dona,1.185 €,No,Grup B,Valentina Rojas,No,1185,1959-09-06,66,"3,5%",1226.47
Valentina,Torres,Colòmbia,Bogotà,14,1,1968,Dona,2.040 €,No,Grup B,Valentina Torres,No,2040,1968-01-14,57,"3,5%",2111.4
Sara,Castro,Colòmbia,Bogotà,4,12,1974,Dona,1.524 €,Sí,Grup B,Sara Castro,No,1524,1974-12-04,50,"3,5%",1577.34
Daniela,Castro,Colòmbia,Bogotà,9,3,1980,Dona,1.670 €,Sí,Grup B,Daniela Castro,No,1670,1980-03-09,45,"3,5%",1728.45
Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1.456 €,No,Grup B,Daniel Gutiérrez Castro,No,1456,1976-05-04,49,"3,5%",1506.96
Sara,Torres Castro,Colòmbia,Medellín,25,2,1992,Dona,1.334 €,Sí,Grup B,Sara Torres Castro,No,1334,1992-02-25,33,"3,5%",1380.69
Santiago,Gutiérrez Torres,Colòmbia,Medellín,4,12,1959,Home,2.238 €,Sí,Grup B,Santiago Gutiérrez Torres,No,2238,1959-12-04,65,"3,5%",2316.33
Laura,Castro Torres,Colòmbia,Medellín,6,6,1997,Dona,1.438 €,No,Grup B,Laura Castro Torres,No,1438,1997-06-06,28,"3,5%",1488.33
Valentina,Gutiérrez Rojas,Colòmbia,Medellín,2,10,1959,Dona,1.728 €,Sí,Grup B,Valentina Gutiérrez Rojas,No,1728,1959-10-02,66,"3,5%",1788.48
Valentina,Torres Rojas,Colòmbia,Medellín,22,10,1957,Dona,1.441 €,No,Grup B,Valentina Torres Rojas,No,1441,1957-10-22,68,"3,5%",1491.43
Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1.438 €,No,Grup B,Toni Castells Romero,Sí,1438,1961-04-13,64,"3,5%",1488.33
Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2.102 €,Sí,Grup B,Toni Castells Martínez,Sí,2102,1981-01-10,44,"3,5%",2175.57
Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1.498 €,Sí,Grup B,Oriol López Ferrer,Sí,1498,1969-11-03,56,"3,5%",1550.43
Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1.473 €,No,Grup B,Pau Sánchez,Sí,1473,1962-03-13,63,"3,5%",1524.55
Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2.057 €,Sí,Grup B,Laia Sánchez Castells,Sí,2057,1970-11-21,54,"3,5%",2128.99
Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1.493 €,No,Grup B,Toni Sánchez,Sí,1493,1987-01-01,38,"3,5%",1545.25
Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1.503 €,Sí,Grup B,Pau Ferrer,Sí,1503,1991-03-15,34,"3,5%",1555.6
Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,,1.840 €,No,Grup B,Toni Castells Ferrer,Sí,1840,1974-11-15,50,"3,5%",1904.4
Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1.398 €,No,Grup B,Marc Castells Sánchez,Sí,1398,2000-06-24,25,"3,5%",1446.93
Oriol,Romero García,Espanya,Barcelona,5,9,1972,Home,1.461 €,No,Grup B,Oriol Romero García,Sí,1461,1972-09-05,53,"3,5%",1512.13
Núria,Ferrer,Espanya,Barcelona,9,6,1959,,1.961 €,No,Grup B,Núria Ferrer,Sí,1961,1959-06-09,66,"3,5%",2029.63
Jordi,Romero Martínez,Espanya,Barcelona,11,6,1983,Home,2.303 €,No,Grup B,Jordi Romero Martínez,Sí,2303,1983-06-11,42,"3,5%",2383.61
Núria,García,Espanya,Barcelona,2,5,1989,Dona,1.627 €,Sí,Grup B,Núria García,Sí,1627,1989-05-02,36,"3,5%",1683.94
Carla,García,Espanya,Barcelona,6,10,2001,Dona,1.962 €,Sí,Grup B,Carla García,Sí,1962,2001-10-06,24,"3,5%",2030.67
Clara,Romero López,Espanya,Barcelona,8,12,1985,Dona,1.385 €,Sí,Grup B,Clara Romero López,Sí,1385,1985-12-08,39,"3,5%",1433.47
Marta,Romero Ferrer,Espanya,Barcelona,7,2,1962,Dona,1.336 €,Sí,Grup B,Marta Romero Ferrer,Sí,1336,1962-02-07,63,"3,5%",1382.76
Núria,Martínez Ferrer,Espanya,Barcelona,7,11,1991,Dona,1.506 €,No,Grup B,Núria Martínez Ferrer,Sí,1506,1991-11-07,33,"3,5%",1558.71
Núria,Ferrer,Espanya,Barcelona,19,9,2001,Dona,1.147 €,Sí,Grup B,Núria Ferrer,Sí,1147,2001-09-19,24,"3,5%",1187.14
Laia,Castells López,Espanya,Barcelona,15,11,1969,Dona,1.482 €,No,Grup B,Laia Castells López,Sí,1482,1969-11-15,55,"3,5%",1533.87
Eva,Castells Martínez,Espanya,Barcelona,15,7,1996,Dona,1.370 €,Sí,Grup B,Eva Castells Martínez,Sí,1370,1996-07-15,29,"3,5%",1417.95
Pau,Ferrer García,Espanya,Barcelona,21,3,1982,Home,1.270 €,No,Grup B,Pau Ferrer García,Sí,1270,1982-03-21,43,"3,5%",1314.45
Núria,Ferrer,Espanya,Barcelona,7,12,1983,Dona,1.964 €,No,Grup B,Núria Ferrer,Sí,1964,1983-12-07,41,"3,5%",2032.74
Laia,López Sánchez,Espanya,Barcelona,11,5,1964,Dona,2.090 €,No,Grup B,Laia López Sánchez,Sí,2090,1964-05-11,61,"3,5%",2163.15
