Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_Complert,Nascut_a_Espanya,Salari numeric,naixament,Edat,increment,Salari actualitzat
Anna,Müller,Alemanya,Hamburg,1,1,1987,Dona,2.464 €,No,Grup C,Anna Müller,No,2464,1987-01-01,38,2%,2513.28
Laura,Schmidt Müller,Alemanya,Hamburg,15,6,1987,,2.035 €,Sí,Grup C,Laura Schmidt Müller,No,2035,1987-06-15,38,2%,2075.7
Anna,Fischer,Alemanya,Hamburg,14,5,1985,Dona,2.443 €,Sí,Grup C,Anna Fischer,No,2443,1985-05-14,40,2%,2491.86
Felix,Schmidt Schmidt,Alemanya,Hamburg,20,10,1951,Home,1.971 €,No,Grup C,Felix Schmidt Schmidt,No,1971,1951-10-20,74,2%,2010.42
Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Home,2.584 €,Sí,Grup C,Tomás Rodríguez Fernández,No,2584,1986-04-20,39,2%,2635.68
Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Home,2.481 €,No,Grup C,Tomás Fernández Álvarez,No,2481,1958-09-08,67,2%,2530.62
Juan,Gómez Gómez,Argentina,Còrdova,9,10,1994,Home,1.685 €,Sí,Grup C,Juan Gómez Gómez,No,1685,1994-10-09,31,2%,1718.7
Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Dona,2.597 €,Sí,Grup C,Valentina Castro,No,2597,1951-09-02,74,2%,2648.94
Sara,Gutiérrez,Colòmbia,Bogotà,12,6,1954,Dona,2.656 €,Sí,Grup C,Sara Gutiérrez,No,2656,1954-06-12,71,2%,2709.12
Daniel,Gutiérrez Castro,Colòmbia,Bogotà,8,7,1951,Home,2.642 €,No,Grup C,Daniel Gutiérrez Castro,No,2642,1951-07-08,74,2%,2694.84
Daniela,Castro,Colòmbia,Bogotà,5,2,1954,Dona,2.030 €,Sí,Grup C,Daniela Castro,No,2030,1954-02-05,71,2%,2070.6
Andrés,Gutiérrez Rojas,Colòmbia,Bogotà,18,3,1986,Home,2.685 €,No,Grup C,Andrés Gutiérrez Rojas,No,2685,1986-03-18,39,2%,2738.7
Andrés,Rojas Castro,Colòmbia,Medellín,20,9,1974,Home,2.397 €,No,Grup C,Andrés Rojas Castro,No,2397,1974-09-20,51,2%,2444.94
Toni,Ferrer,Espanya,Barcelona,12,4,1985,Home,2.639 €,No,Grup C,Toni Ferrer,Sí,2639,1985-04-12,40,2%,2691.78
Marta,Martínez Castells,Espanya,Barcelona,16,7,1977,Dona,2.452 €,Sí,Grup C,Marta Martínez Castells,Sí,2452,1977-07-16,48,2%,2501.04
Jordi,García Romero,Espanya,Barcelona,28,5,1952,Home,2.547 €,Sí,Grup C,Jordi García Romero,Sí,2547,1952-05-28,73,2%,2597.94
Pau,Castells,Espanya,Barcelona,22,1,1986,Home,2.208 €,No,Grup C,Pau Castells,Sí,2208,1986-01-22,39,2%,2252.16
Joan,Martínez,Espanya,Barcelona,14,9,1999,Home,2.725 €,No,Grup C,Joan Martínez,Sí,2725,1999-09-14,26,2%,2779.5
Núria,Martínez,Espanya,Barcelona,19,6,1981,Dona,1.939 €,No,Grup C,Núria Martínez,Sí,1939,1981-06-19,44,2%,1977.78
Joan,López Ferrer,Espanya,Barcelona,21,6,1951,Home,2.789 €,No,Grup C,Joan López Ferrer,Sí,2789,1951-06-21,74,2%,2844.78
Arnau,López Sánchez,Espanya,Barcelona,22,5,1951,Home,1.690 €,Sí,Grup C,Arnau López Sánchez,Sí,1690,1951-05-22,74,2%,1723.8
Oriol,Castells,Espanya,Barcelona,8,7,1950,Home,2.780 €,Sí,Grup C,Oriol Castells,Sí,2780,1950-07-08,75,2%,2835.6
Laia,Romero,Espanya,Barcelona,17,4,1962,Dona,1.761 €,No,Grup C,Laia Romero,Sí,1761,1962-04-17,63,2%,1796.22
Oriol,Martínez,Espanya,Barcelona,9,7,2002,Home,2.019 €,Sí,Grup C,Oriol Martínez,Sí,2019,2002-07-09,23,2%,2059.38
Núria,Ferrer,Espanya,Barcelona,10,4,1957,Dona,2.366 €,No,Grup C,Núria Ferrer,Sí,2366,1957-04-10,68,2%,2413.32
Núria,Martínez Sánchez,Espanya,Barcelona,23,7,1999,Dona,2.185 €,Sí,Grup C,Núria Martínez Sánchez,Sí,2185,1999-07-23,26,2%,2228.7
