Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom_Complert,Nascut_a_Espanya,Salari numeric,naixament,Edat,increment,Salari actualitzat
Jonas,Schneider,Alemanya,Berlín,22,11,1985,Home,2.754 €,Sí,Grup D,Jonas Schneider,No,2754,1985-11-22,39,8%,2974.32
Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Home,2.984 €,No,Grup D,Leon Schneider Schneider,No,2984,1977-10-16,48,8%,3222.72
Lea,Schneider,Alemanya,Munic,22,9,1950,Dona,2.668 €,Sí,Grup D,Lea Schneider,No,2668,1950-09-22,75,8%,2881.44
Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Dona,2.778 €,No,Grup D,Laura Schneider Müller,No,2778,1990-11-28,34,8%,3000.24
Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Dona,3.014 €,No,Grup D,Florencia Rodríguez Álvarez,No,3014,1999-11-27,25,8%,3255.12
Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Home,2.756 €,No,Grup D,Jordi Sánchez,Sí,2756,1981-06-06,44,8%,2976.48
Joan,Romero,Espanya,Barcelona,26,4,1969,Altres,3.175 €,No,Grup D,Joan Romero,Sí,3175,1969-04-26,56,8%,3429.0
Laia,Ferrer,Espanya,Barcelona,21,12,1987,Dona,2.825 €,Sí,Grup D,Laia Ferrer,Sí,2825,1987-12-21,37,8%,3051.0
Marta,Castells,Espanya,Barcelona,2,10,2003,Dona,2.683 €,No,Grup D,Marta Castells,Sí,2683,2003-10-02,22,8%,2897.64
Eva,Ferrer Romero,Espanya,Barcelona,1,11,2005,Dona,2.899 €,No,Grup D,Eva Ferrer Romero,Sí,2899,2005-11-01,19,8%,3130.92
Laia,Castells,Espanya,Bilbao,19,4,1950,Dona,2.448 €,No,Grup D,Laia Castells,Sí,2448,1950-04-19,75,8%,2643.84
Eva,Castells Romero,Espanya,Bilbao,25,7,1988,Dona,2.433 €,Sí,Grup D,Eva Castells Romero,Sí,2433,1988-07-25,37,8%,2627.64
Laia,Sánchez López,Espanya,Bilbao,5,8,1972,Dona,2.964 €,No,Grup D,Laia Sánchez López,Sí,2964,1972-08-05,53,8%,3201.12
Arnau,Romero,Espanya,Bilbao,26,6,1951,Home,3.329 €,Sí,Grup D,Arnau Romero,Sí,3329,1951-06-26,74,8%,3595.32
Pau,Castells,Espanya,Bilbao,20,7,1953,Home,2.952 €,No,Grup D,Pau Castells,Sí,2952,1953-07-20,72,8%,3188.16
Laia,Castells Ferrer,Espanya,Madrid,16,12,1953,Altres,2.611 €,No,Grup D,Laia Castells Ferrer,Sí,2611,1953-12-16,71,8%,2819.88
Marta,Romero,Espanya,Madrid,10,5,2001,Dona,2.810 €,Sí,Grup D,Marta Romero,Sí,2810,2001-05-10,24,8%,3034.8
